ObjID,DialogueNum,Character(s),Type,Text
Intro,0,Harper,internal,"Hmm... I don't think Vera came home last night"|"She left all my messages on read. That’s not normal for her."|"Im starting to get worried"
verasDoor,0,Harper,internal,"Locked… that means she left. But where did she go?"
verasDoor,1,Harper,internal,"There we go"
verasDesk,0,Harper,internal,"Is this her phone?"|"Why would she leave without her phone?"
nothing,0,Harper,internal,"Nothing useful here… I need to focus"
garbageCan,0,Harper,internal,"That looks out of place… why would she throw this away?"
calendar,0, Harper,internal,"According to my calendar"|"Vera's birthday is coming up"
calendar,1,Harper,internal,"Her birthday’s circled! June 7th"
kitchenCounter,0,Harper,internal,"Vera sure loves her apples"
kitchenCounter,1,Harper,internal,"Of course. Vera and her obsession with apples"|"She would devour an entire bag in an afternoon"
exit,0,Harper,internal,"I can’t leave yet. Not until I figure out what happened"
STAGE1_09,Harper,internal,Her birthday is circled on the calendar… and she loves TartPops. That has to be the password.,Sticky Note
STAGE1_10,Harper,internal,Yes! It worked. Let’s see what she’s been up to.,Vera’s Phone
STAGE1_11,Harper,internal,"Something isn’t right. I have to follow this. First, the bar.",Vera’s Phone
STAGE1_12,Harper,aloud,Let’s go. I need to find Vera and figure out what happened.,Vera’s Phone
cupboard,0,Harper,internal,"Nothing inside the cupboard… just the usual dishes"
STAGE1_14,Harper,internal,Looks like the garbage can has already been taken out.,garbage can
STAGE1_15,Harper,internal,The counter is clear… maybe Vera left something behind?,Counter
STAGE1_16,Harper,internal,The lamp is on… odd that it's still lit.,lamp
STAGE1_17,Harper,internal,Her desk is a mess  but I don't see anything useful right now.,Desk
STAGE1_18,Harper,internal,The shelf holds some books… nothing that seems important.,Shelf
STAGE1_19,Harper,internal,The exit door is locked… I can't go through here yet.,Door2
STAGE1_20,Harper,internal,There's a framed photo on the wall… Vera looks happy in this.,frame
STAGE1_21,Harper,internal,Vera's computer is still on… maybe I can find a clue there.,Vera's Computer
STAGE1_22,Harper,internal,The carpet is clean… nothing unusual to notice here.,carpet
fridge,0,Harper,internal,"Just a fridge. Our milk is close to expiring"
fridge,1,Harper,internal,"Here it is"|"What a weird place to hid a key"
crumpledNote,0,Harper,internal,"Hmm... 'Secret hiding places: toilet. fridge. couch'"
toilet,0,Harper,internal,"I really should clean this thing more often"
toilet,1,Harper,internal,"Hmm. The key isn't here"|"Must be in one of the other two places"
couch,0,Harper,internal,"Im surprised Vera isn't on this couch right now arguing with someone online"|"This isn't like her. I'm getting worried"
couch,1,Harper,internal,"Nothing under the cushions but crumbs"|"The key must be in one of the other two places"
phone,1,Harper,internal,"I can't open Vera's phone without her password"
wallNote,0,Harper,internal,"Some notes about passwords or something"
wallNote,1,Harper,internal,"Hmm... 'password idea: birthday + fav food'"
verasTable,0,Harper,internal,"Vera's plants haven't been watered"|"I'm starting to get worried"
kitchenTable,0,Harper,internal,"Looks like she left some food out"
exitDoor,0,Harper,internal,"I can't leave yet"|"I'd have no idea where to go"
exitDoor,1,Harper,internal,"I'm coming to find you Vera!"
location,0,Harper,internal,"Huh. She went to the bar a few days ago"|"I better go over there and ask if anyones seen her"
CLUE_KEY_01,System,ClueDescription,A small brass key with faded enamel on the handle. A tag attached to it reads 'V' in messy handwriting. It looks worn from daily use.,Vera’s Room Key
CLUE_NOTE_01,System,ClueDescription,"A torn piece of paper, hastily crumpled and partially smoothed out. Some words are smudged, but it looks like Vera was writing something important before throwing it away.",Crumpled Note
CLUE_PHONE_01,System,ClueDescription,An Apple iPhone 16 resting on the desk. The screen lights up but requires a word password. Several unread notifications are visible.,Vera’s Phone
CLUE_STICKY_01,System,ClueDescription,A small yellow sticky note stuck to the back of a drawer. It reads: 'Password = birthday + fav food.' The handwriting is unmistakably Vera’s.,Sticky Note
npc1,0,Harper/Bargoer,conversation,Harper:"Hello. I'm looking for my friend Vera. Have you seen them?"|Bargoer:"No I haven't. Sorry"
bartender,0,Harper/Bartender,conversation,Harper:"Hello. I'm looking for my friend Vera. Have you seen them?"|Bartender:"Yeah she was in here earlier. She left with a tall man in suit"|Harper:"Do you know where they went?"|Bartender:"No sorry. I think she left her jacket here though. You should check the lost and found"|Harper:"Thank you!"
lost_and_found,0,Harper,internal,"Hmm... people lose lots of stuff here"
lost_and_found,1,Harper,internal,"It sure looks like Veras coat. Is that a note in the pocket?"|"It looks like a password. I wonder if it could be for that locked text conversation"
